,OrigInd,Town,Rating,Sentence,cleaned_sentences,noun_phrases,nouns,Topic
2141,5481,Littlehampton,3,"Average food Food was okay ,did forget my side order tho and had to go and remind them that I ordered one ! There was only one waiter that I could see working the day I went so service was slow !",average food food okay forget side order tho go remind ordered one,average food food okay,"['food', 'food', 'okay']",FoodGen
2160,5519,Littlehampton,4,"Very cozy atmosphere We met friends here on a chilly Monday night. It was fairly quiet with only a couple of tables taken but that didn’t detract from the atmosphere. I ordered a vegetarian dish and my husband had a burger, not very big but nice. The menu is quite varied along with tapas which we didn’t try. We had churros with chocolate and caramel sauce which were scrumpy. I would definitely visit again when in the area. Apparently it’s fab in the summer with an outside veranda and the doors slid open.",ordered vegetarian dish husband burger not big nice,vegetarian dish husband burger,"['dish', 'husband', 'burger']",Menu
2161,5526,Littlehampton,5,"Great gluten free menu Great food, plenty of choice on the gluten free menu. Staff were very knowledge about cross contamination and food was clearly labelled as gluten free on the plate.",great gluten free menu great food plenty choice gluten free menu,great food plenty choice gluten,"['food', 'plenty', 'choice', 'gluten']",FoodGen
2162,5527,Littlehampton,3,"Disappointing I had been looking forward to trying this place and popped in for a coffee one lunchtime. It was very busy and the food that was coming out for everyone else looked very nice. However, the coffee I had was not very nice and my overall impression was that the place needed cleaning. We were sitting on one of the sofas and had to move the cushions that had got squashed down and was shocked to see the amount of crumbs underneath. Obviously no one had ever vacuumed there. I suggest that they give the whole place a deep clean.",sitting one sofa move cushion got squashed shocked see amount crumb underneath,amount crumb underneath,"['amount', 'crumb', 'underneath']",FoodPort
2164,5529,Littlehampton,2,"Felt grubby Been here several times and it was better. Left fairly quickly tables uncleared of previous plates and glasses, people on nearby tables clearing stuff from previous customers onto the vacant ones tables and menus were sticky. Went to the Lamb Pub nearby which was immaculate and just felt better throughout. Similar prices no comparison on this visit. Hoping for a good old fashioned clean up and we shall be back.",similar price comparison visit,similar price comparison visit,"['price', 'comparison', 'visit']",VisitExp
2165,5530,Littlehampton,4,"Lovely We visited the restaurant at lunchtime on New Year's Eve. We had a lovely relaxing time. The food was lovely, we both had burgers & upgraded the chips to sweet potato fries. The atmosphere was lovely, we eat out alot & we can honestly say this is one of our favourites at the moment. We are also not usually burger people but here I have to say we really enjoyed them & will revisit without a doubt. We also ate there in December & both had paninis on that occasion. It was a Saturday afternoon.",food lovely burger upgraded chip sweet potato fry,chip sweet potato fry,"['chip', 'potato', 'fry']",FoodPort
2166,5531,Littlehampton,2,"Rude staff member Visited on 10th Jan 2019. Young staff member very rude and patronising. No doubt thought he was being ""clever"".",young staff member rude patronising,young staff member rude,"['staff', 'member', 'rude']",StaffGen
2167,5531,Littlehampton,2,"Rude staff member Visited on 10th Jan 2019. Young staff member very rude and patronising. No doubt thought he was being ""clever"".",doubt thoughtclever i,doubt thoughtclever i,"['doubt', 'thoughtclever', 'i']",Quality
2170,5534,Littlehampton,3,Very good Tapas Tuesday night is Tapas night at the Establo lounge you get 3 tapas of your choice and a glass of wine this is good value. The music is quite loud but i understand this is what the young people like these days,good tapa tuesday night tapa night stable lounge get tapa choice glass wine good value,tapa choice glass wine good value,"['tapa', 'choice', 'glass', 'wine', 'value']",Choice
2173,5538,Arundel,5,"Amazing service and food We went to Black horse for Sunday roast and everything from calling to book reservation to requesting vegan meals was excellent.
Nothing was too much trouble, even making mulled wine.
Two of us are vegan and the nut roast was delicious, staff knowledgeable about ingredients.
Can’t wait to visit again",two u vegan nut roast delicious staff knowledgeable ingredient,u vegan nut roast delicious staff,"['vegan', 'roast', 'staff']",StaffGen
2175,5544,Arundel,5,"Smashing meal A group of 7 a few saturday nights ago had a most beautiful meal. Well cooked, flavoursome and very friendly service......",smashing meal group saturday night ago beautiful meal,meal group saturday night,"['meal', 'group', 'night']",MealExp
2183,5552,Arundel,5,"Great food! Visited almost at random, just turned into the village off the B2139 to see if we could find somewhere nice for a pub lunch on our way to walk a section of the South Downs Way.

First impressions were of somewhere done up, this can be a warning bell for me and another was the bill for the cheapest fixed menu lunch (2 courses), around £56 for two with one drink each. Anyway I managed to maintain the requisite stiff upper lip. And the interiors were actually quite nice. The welcome I would describe as polite rather than warm; then again, maybe we were a bit on the scruffy side!

Food came in reasonable time and was presented quasi nouvelle style, not something I usually particularly favour, but this was done nicely and nothing too fussy.

We really began to warm to the place on tasting the food, which was excellent throughout. My starter of mackerel Caesar salad was really fresh (...& that certainly tells with mackerel), with the anchovies done whitebait style and salty lardons. Mains of sea bass included a generous size whole fish each, cooked to absolute perfection with just the right touch of garlic, a few new potatoes and a delicious side salad. We didn't do desert as we couldn't afford to sleep all afternoon with miles to walk, but the coffee & amaretti was equally decent with real flavour.

Recommended! The price was actually decent for the very high quality of food on offer.",starter mackerel caesar salad really fresh certainly tell mackerel anchovy done whitebait style salty pardons,whitebait style salty pardons,"['whitebait', 'style', 'salty', 'pardons']",FoodPort
2198,5566,Arundel,4,"An enjoyable meal Our second meal out of the week was too an old favourite, The Black Horse in Binsted. It’s a great spot to sit looking out over the golf course when the weather is good. Unfortunately, we had rain...

We had a nice table in the restaurant by the big windows. Clive, the owner, and the waitress did a great job taking care of us.

The food was very good. My partner and I had the mushrooms in filo pastry to start and they were delicious. The king prawns in pancetta and mackerel pate were also highly commended.

Our mains were equally delicious. Four empty plates returned to the kitchen!

For dessert, I opted for the ginger parfait with brandy snap and whipped cream. I loved the warmth of the ginger, without it overpowering. The banana, caramel mess was also delicious.

A good evening of tasty food in a nice setting. What’s not to like?",banana caramel mess also delicious,banana caramel mess,"['banana', 'caramel', 'mess']",FoodPort
2201,5570,Arundel,5,Amazing food at a reasonable price Have eaten here a couple of times and the food is always fantastic. Had the seafood sharing platter for 2 of us with some fries and was enough for a main course. Hubby had the steak which was also excellent,seafood sharing platter u fry enough main course,platter u fry,"['platter', 'u', 'fry']",Quality
2204,5574,Arundel,5,"Great New Venue I was taken here to lunch today by a friend and was most impressed. Friendly welcome and great service. Wide range of choices on the menu and reasonable prices. The food we had was really very good and I am keen to return next time I'm visiting the area. First pub I have been too with a helicopter, adjacent to the car park, bringing other guests!!!!",wide range choice menu reasonable price,wide range choice menu,"['range', 'choice', 'menu']",Menu
2205,5574,Arundel,5,"Great New Venue I was taken here to lunch today by a friend and was most impressed. Friendly welcome and great service. Wide range of choices on the menu and reasonable prices. The food we had was really very good and I am keen to return next time I'm visiting the area. First pub I have been too with a helicopter, adjacent to the car park, bringing other guests!!!!",first pub helicopter adjacent car park bringing guest,pub helicopter adjacent car park,"['pub', 'helicopter', 'car', 'park']",FoodPort
2216,5596,Arundel,5,"What a find ! What a gem Staying locally but didn’t fancy hotel breakfast hotel costs so went into Arundel to find cafe ( had walked round arundel previous late afternoon ) which we seen
Entered Motte and Bailey and immediately relaxed in the wonderful calm atmosphere -the staff -all probably students were immaculately turned out and attentive but never pushy
We were seated and served very politely and quickly -the menu choice was good and vegans and vegetarians were “the norm” -my husband,a vegetarian , elected the vegan breakfast and I had an egg dish . Both arrived very quickly and piping hot and nicely presented .
My husband’s face was a picture when he saw his food -a generous portion to say the least
And to top it all our bill was less than the hotel would have charged

On leaving I spoke to the manageress to compliment her and her staff
We will be back !",gem staying locally not fancy hotel breakfast hotel cost went find cafe walked round previous late afternoon seen entered motte bailey immediately relaxed wonderful calm atmosphere the staff all probably student immaculately turned attentive never pushy seated served politely quickly the menu choice good vegan vegetarian norm my husband vegetarian elected vegan breakfast egg dish,fancy hotel breakfast hotel cost,"['hotel', 'breakfast', 'hotel', 'cost']",Quality
2220,5602,Arundel,1,"Next time, we’ll just post forty quid through the letterbox, apologise and run away. A lunchtime rush promised much yet delivered very little: a brief half an hour was spent in the cafe yet despondency amongst staff left customers feeling like an inconvenience. Requests for condiments were met with barely concealed irritation. The meals were adequate at best but there was disparity between the price of the food and what was delivered. Having ordered a dairy-free drink due to a lactose intolerance, a regular dairy drink was delivered. On querying the origins of the milk, staff bizarrely asked whether the lactose-intolerant customer would like to finish the drink. A further request for separate bills was met with clenched teeth and a barely concealed sigh. This constant neediness simply added a further dreary layer of tedium to the apparently already bored staff’s troublesome shift from hell. Apologies for inconveniencing you all.",meal adequate best disparity price food delivered,disparity price food,"['disparity', 'price', 'food']",Quality
2221,5611,Arundel,1,"Terrible Service Not impressed at all with this place waitress was uninterested in serving me and when I asked for water along side my breakfast it seemed like I was an iris ring rash. Young blonde waitress with an air of superiority!

Food was very average but service was terrible",young blonde waitress air superiority,young blonde waitress air superiority,"['blonde', 'waitress', 'air', 'superiority']",Ordering
2223,5613,Arundel,5,"Fantastic light lunch Took a break during our visit to Arundel Castle and found this wonderful cafe. Perfect toasted sandwiches, fantastic chips and delicious sweet potato soup. You can order a small portion of soup with a sandwich instead of a normal size portion, which is a great idea. Friendly and efficient service even though busy.",order small portion soup sandwich instead normal size portion great idea,small portion soup sandwich,"['portion', 'soup', 'sandwich']",FoodPort
2225,5616,Arundel,5,"The best sausages ever! Good service, nice atmosphere, really enjoyed the Eggs Royale and my son said that the sausages were the best ever, would recommend.",good service nice atmosphere really enjoyed egg royale son said sausage best ever would recommend,egg royale son,"['egg', 'royale', 'son']",MealExp
2227,5621,Arundel,4,"Morning coffee Lovely place to relax, even on a busy day. Cheese scones are delicious.
Lots of veggie and vegan food if required.",lot veggie vegan food required,lot veggie vegan food,"['lot', 'veggie', 'food']",VFM
2231,5629,Arundel,5,Great food ! Loved it Saturday night tapas bottle of wine great service amazing food great social place to eat with a real Mediterranean feel to it. Relaxed casual place,loved saturday night tapa bottle wine great service amazing food great social place eat real mediterranean feel,saturday night tapa bottle wine,"['night', 'tapa', 'bottle', 'wine']",Menu
2243,5650,Arundel,5,Love this place :) Have offices a few doors up from Motte and Bailey and have neglected to leave a review. Visited on Wednesday morning with the staff for a informal catch up and have breakfast. Everyone loved it and commented on how lovely the staff were and how nice the food was. Thank you :),love place office door motte bailey neglected leave review,place office door motte bailey,"['place', 'office', 'door', 'motte', 'bailey']",FoodGen
2245,5653,Arundel,4,"Friendly little cafe with a nice range of foods We were in Arundel for a flying visit (visiting the Chestnut Tree Hospice locally), and Motte & Bailey was the most inviting of the few spaces open for lunch on a cold winter's day. The staff were very welcoming.

I enjoyed their delicious homemade quiche of the day (vegetarian), which had the most amazing thin pastry and served with a side of two scrumptious salads. Perfect for a light lunch. My husband struggled to find something on the menu, so plumped for the Tunisian Orange cake which was very nice. I couldn't resist sampling their beetroot, chocolate and chai cake which was again, very nice. Not too sweet and definitely not dry.

Food presentation was very good, and prices were reasonable. A great little place to rest awhile.",friendly little cafe nice range food flying visit visiting chestnut tree hospice locally motte bailey inviting space open lunch cold winter is,chestnut tree hospice,"['chestnut', 'tree', 'hospice']",Ordering
2247,5653,Arundel,4,"Friendly little cafe with a nice range of foods We were in Arundel for a flying visit (visiting the Chestnut Tree Hospice locally), and Motte & Bailey was the most inviting of the few spaces open for lunch on a cold winter's day. The staff were very welcoming.

I enjoyed their delicious homemade quiche of the day (vegetarian), which had the most amazing thin pastry and served with a side of two scrumptious salads. Perfect for a light lunch. My husband struggled to find something on the menu, so plumped for the Tunisian Orange cake which was very nice. I couldn't resist sampling their beetroot, chocolate and chai cake which was again, very nice. Not too sweet and definitely not dry.

Food presentation was very good, and prices were reasonable. A great little place to rest awhile.",could not resist sampling beetroot chocolate chai cake nice,beetroot chocolate chai cake,"['beetroot', 'chocolate', 'chai']",MealExp
2248,5653,Arundel,4,"Friendly little cafe with a nice range of foods We were in Arundel for a flying visit (visiting the Chestnut Tree Hospice locally), and Motte & Bailey was the most inviting of the few spaces open for lunch on a cold winter's day. The staff were very welcoming.

I enjoyed their delicious homemade quiche of the day (vegetarian), which had the most amazing thin pastry and served with a side of two scrumptious salads. Perfect for a light lunch. My husband struggled to find something on the menu, so plumped for the Tunisian Orange cake which was very nice. I couldn't resist sampling their beetroot, chocolate and chai cake which was again, very nice. Not too sweet and definitely not dry.

Food presentation was very good, and prices were reasonable. A great little place to rest awhile.",food presentation good price reasonable,food presentation good price,"['food', 'presentation', 'price']",Quality
2250,5657,Littlehampton,5,"Great curry The service is great.
The curry is the best curry ,they take a lot of effort with the food to make it look nice.
Value for money if you go on a Wednesday night it’s banqueting night.
You get 5 things for £11.95.
The food is delicious and great value for money ,my family and me have been about
10 times and loved it every time.
The staff are very friendly.
I would definitely recommend.
And chant wait to go again.",food delicious great value money family time loved every,great value money family time,"['value', 'money', 'family', 'time']",VFM
2270,5695,Littlehampton,5,"Feeling hungry..... Nothing is too much trouble for this well run family business.

You can mix and match or just pick off the menu the extensive menu.

We have had takeaways, eaten in for breakfast ,lunch or just had tea and the amazing egg free Nutella cheesecake...all has been consistant and wholesome.

The service is as quick as it can be, as all cooked fresh , staff are friendly and it is very clean.

We have never ever had any complaints about the food or service. but you must be aware that it does get very busy so book if you can before you go.",takeaway eaten breakfast lunch tea amazing egg free nutella cheesecakeall consistant wholesome,takeaway eaten breakfast lunch tea,"['breakfast', 'lunch', 'tea']",Ordering
2271,5697,Littlehampton,5,"Best breakfast ever! This isn’t the first time we’ve visited as we live only a few miles down the coast but having just seen an Angmering pub/ b&b claiming to be number 1 in Littlehampton when actually this cute, honest little cafe holds the crown, I felt motivated to add my tuppence worth.
All ingredients are fresh, locally sourced and put together with love by the amazing team who run this great cafe. Eggs are free range and their fresh crusty bread is to die for!
There are several size breakfast options all with a huge mug of tea or coffee, ranging from under a fiver to The gut busting monster we saw lots of folk enjoying for less than £8.
We are not big eaters so our full English and a hot drink came to under a tenner! Wonderful! Fresh, tasty and fantastic value!
The staff are always friendly and tables are cleaned as soon as vacates. It’s quirky, clean and just great honest nosh!
Definitely Number 1 in our books (as well as Trip Advisor) - has to be tried, you WILL be back!",several size breakfast option huge mug tea coffee ranging fiver gut busting monster saw lot folk enjoying le,huge mug tea coffee,"['mug', 'tea', 'coffee']",Ordering
2279,5717,Arundel,1,"Dissapointing The Moat house Cafe is in a great position and looked great through the window.
BUT - The table service was slow, we asked if ordering two tea's came in a teapot, we got two mugs with stewed tea bags in.
Fish and chips - The plate was cold, the fish was tasteless.
Baked potato and baked beans - The plate was cold and the baked potato was soggy, as though it had been microwaved from frozen, it was awful.
- we waited over 30 minutes for well below acceptable food.
We will never return.",disappointing moat house cafe great position looked great window,disappointing moat house cafe,"['moat', 'house', 'cafe']",VisitExp
2280,5721,Arundel,5,"Yummy cream tea, vibrant and cozy place! Something drew me in there and I have a feeling it wasn’t just the cream tea! I instantly felt at home, such a cozy place. All the signs on walls are kinda riddiculous - it seems that you can get like anything you think of, they even sell some books and maybe even keyrings? How can they possibly keep all that up? But the cream tea was a delicious afternoon treat, staff lovely and friendly, the place was buzzing and everyone seemed happy, I loved the decor, teddybears, funny and thoughtful signs all around... hope I’ll get the chance to come back for some more!",yummy cream tea vibrant cozy place,yummy cream tea vibrant cozy place,"['cream', 'tea', 'cozy', 'place']",Ordering
2284,5727,Arundel,5,"lunch time eats have been here a few times now and always have a good meal at reasonable prices today was no exception
my other half had the steak pie with potato and veg i had scampi chips peas
two teas and bread and butter bakewell tart to follow with ice cream!
all very tasty.staff very friendly and chatty/accommodating came to £22.48 excellent value for money
will will be back!",lunch eats time always good meal reasonable price today exception half steak pie potato veg scampi chip pea two tea bread butter farewell tart follow ice cream,tea bread butter farewell tart,"['tea', 'bread', 'butter', 'tart']",Choice
2293,5741,Arundel,5,"Fabulous Breakfast! We arrived hungry after a long drive at about 08:30 and the idea of a ""Full English"" grabbed our imagination. There was a large, comprehensive selection of food so where to start? The menu suggested a basic full fried breakfast with the works, but we wrongly assumed that the portions would be ""average"". So, I ordered the Bumper breakfast! Well, what a feast! the normal full English was exceptionally generous, so the Bumper was huge. Hot and freshly cooked this was just what was needed as a proper breakfast. Good hot coffee to go with it and good service made for a terrific breakfast to make you proud. Highly recommended.",menu suggested basic full fried breakfast work wrongly assumed portion wouldaverage i,portion wouldaverage i,"['portion', 'wouldaverage', 'i']",FoodPort
2298,5747,Arundel,5,"Just cannot stay away....great food, great service and great prices Just cannot stay away - always busy but the service is just awesome, genuine and well paced. if you want fresh cooked food served as you wish, then there may be a small delay but its worth the wait. The waitresses are friendly, helpful, welcoming and attentive. In fact Hayley, Jess and Kate demonstrate the kind of service which makes you come back for more.

The food is always well cooked, fresh and served to order (I love crispy bacon and always get it here) and I like that you can get extras and its a Kings breakfast but you don't pay a Kings ransom for it. Great choice and always look forward to visiting Arundel because of the food served here and the service too.",fact hayley jess kate demonstrate kind service make come back,fact hayley jess kate,"['fact', 'hayley', 'jess', 'kate']",Menu
2300,5751,Arundel,5,Attentive waiting staff. Excellent range on offer This is an excellent place to get a good value breakfast or lunch. The waiting staff are always on hand and are always pleasant. Food is prepared speedily looks appetising and tastes pretty good too.,excellent range offer excellent place get good value breakfast lunch,good value breakfast lunch,"['value', 'breakfast', 'lunch']",VFM
2302,5754,Littlehampton,3,Sadly didn’t stay We came here 3 weeks ago and enjoyed the food though the ambiance was poor but we thought it would improve. Today we felt it was not welcoming in design with an empty freezer unit at the front door few customers and no obvious menus though we did spot them. Then it was compounded by one member of staff fussing a dog in the restaurant and then continuing to work. Nothing against dogs but we feel restaurant staff should avoid them with hands and not pet them. Unfortunately the undoubted food quality and prices did not persuade us to stay.,unfortunately undoubted food quality price not persuade u stay,food quality price,"['food', 'quality', 'price']",Quality
2306,5756,Littlehampton,5,"Good cafe! Went in for a sandwich and a coffee. Coffee good, sandwich excellent with fast service. Sat outside in the sunshine and got lovely views down the river to the sea.",sat outside sunshine got lovely view river sea,lovely view river sea,"['view', 'river', 'sea']",Booking&Table
2309,5762,Littlehampton,5,"Best breakfast Had the best breakfast in ages at The Boathouse. Really good quality, tasty food. Friendly and attentive service. Will be back!",best breakfast best breakfast age boathouse,breakfast age boathouse,"['breakfast', 'age', 'boathouse']",VisitExp
2318,5776,Littlehampton,4,"Great tapas and puddings We took a family visit to the Boathouse for a birthday meal. It was a Tapas night and we sat out on the terrace to enjoy the Mediterranean evening. It’s fair to say we had about 3/4s of the menu between us and really enjoyed the food.

Highlights were the Chorizo and Ham Hock Terrine, the slow roasted pork and black pudding and the tortilla. I think we also had four bowls of the chorizo which was cooked in lemon and garlic.

We also had pudding – not something we usually do as they are expensive as a family. All were very good with a special mention for the strawberry and lemon posset which had a great balance of flavour and great home made shortbread.

It is a bit out of the way but definitely worth making the effort to visit and we will be going back again in the future.",highlight chorizo ham hock terrine slow roasted pork black pudding tortilla,highlight chorizo ham hock terrine,"['highlight', 'chorizo', 'ham', 'hock', 'terrine']",MealExp
2325,5786,Littlehampton,5,"Excellent food, excellent service and excellent entertainment all on a Sunday afternoon ! Booked tickets for a birthday meal at the Boathouse for the tribute Grease v Dirty Dancing wondering how this would work on a Sunday afternoon and it was brilliant. The food was excellent (amazing fresh salads), the staff were absolutely delightful - joining in with the dancing (!) and the singers, Mark and Charrise were brilliant and very engaging with the crowd. Great afternoon and will be back for tapas, breakfast and tribute afternoon.",great afternoon back tapa breakfast tribute afternoon,tapa breakfast tribute afternoon,"['tapa', 'breakfast', 'tribute', 'afternoon']",Ordering
2327,5787,Littlehampton,5,"Hidden Gem  Excellent menu.
Great Staff.

Extensive tapas menu
Sunday afternoons 3pm top class entertainers.
Situated in the marina so lots of people watching too.
We will definitely return.",extensive tapa menu sunday afternoon top class entertainer,extensive tapa menu sunday afternoon top class entertainer,"['tapa', 'menu', 'afternoon', 'class', 'entertainer']",Menu
2339,5801,Littlehampton,1,"humiliating experience, we won't be going back We had seen this place advertised and had a walk by previously, looked down to earth, cafe/restaurant, plenty of notices to come in and enjoy a drink etc so when we saw there was a band to be playing on a sunday afternoon we thought it a perfect time to go along.
When we got there a member of staff asked us if we were there for food or just drinks, we said just drinks, she said that's fine, and showed us to a table. We ordered two hot chocolates that came after about 10 minutes.
The band were setting up, all was fine,
Then one of the members of staff came over just as i had my last mouthful of my drink, she bent down next to our table and asked us to move because some customers had come in. I thought that rather odd as we were also customers and it was only a small table so not as if we were using a table that a larger group would want. I tend to avoid confrontation so started to gather my purse, phone, jacket etc, and asked where to move to, I was completely shocked at her reply. She said ' well go '. I couldn't believe it, how embarrassing to be asked to leave, we were customers buying drinks intending to enjoy an afternoon of music.
We were on the way out, I said that i felt they were very rude and we had wanted to stay for the afternoon, she said, well stay then. But at that point on the way out the door, feeling totally humiliated, of course we weren't going to go back in.I pointed out that she had made us feel very uncomfortable and she said no i haven't. Well in my opinion asking someone to leave, in earshot of several tables , is extremely rude and i have never been made to feel so humiliated.",point way door feeling totally humiliated course not going go back ini pointed made u feel uncomfortable said not,point way door feeling,"['point', 'way', 'feeling']",MealExp
2343,5806,Littlehampton,5,"Great food! Went for lunch, the sun was out making the location even better. Great place inside and the staff are friendly. I had the burger, and it was fantastic. Homemade, packed with flavour, chips were great as well! Steak and ale pie was also a highlight as well! Everything was great start to finish..go there, best food we have had in the local area!",went lunch sun making location even better,lunch sun making location,"['lunch', 'sun', 'making', 'location']",VFM
2347,5808,Littlehampton,5,"Something for everyone The staff are attentive and welcoming, the food freshly cooked, breakfasts are plentiful and delicious, family (including the dog) are welcome, a great place to meet or take a friend for coffee, cake (including g f/ nut / and dairy free) highly recommended, a great place with friendly, helpful staff.",something everyone staff attentive welcoming food freshly cooked breakfast plentiful delicious family including dog welcome great place meet take friend coffee cake includingi nut dairy free highly recommended great place friendly helpful staff,friend coffee cake includingi nut dairy,"['friend', 'coffee', 'nut', 'dairy']",Menu
2352,5811,Littlehampton,5,"Note to self: Eat here more often Haven’t written a review for a while but once again a tapas meal at The Boathouse in the Marina has inspired me. And it wasn’t just the meal - which was faultless - the atmosphere is happy and relaxed and the service is friendly but still professional. We were there as a family (with adult children) but there were couples and also a lone diner that evening, and Julie, the owner, gave equal attention to us all. Back to the food - seriously, everything we ate was, “Oh my goodness, this is amazing!” The chef there definitely knows what he’s doing. My favourite was the haggis dish. Not sure if that will always be on the menu as it was Burns Night - but everything was so good it wouldn’t matter. If you haven’t tried the food there yet, you really really really should.",not sure always menu burn night everything good would not matter,menu burn night,"['menu', 'burn', 'night']",Menu
2354,5816,Littlehampton,4,Excellent decor with peaceful tranquil views. The menu is simple but the food delicious and fabulously tasty. The food is beautifully presented. The stall friendly attentive and efficient. We enjoyed the brunch all of us will return.,excellent decor peaceful tranquil view,excellent decor peaceful tranquil view,"['decor', 'tranquil', 'view']",VFM
2359,5820,Bognor,5,"Will be back Lovely atmosphere and friendly service makes a lovely combination, and to top it off food is fab.
Thankyou for a lovely time , traditional pub recommend visiting if you are in the area",back lovely atmosphere friendly service make lovely combination top food fab,lovely combination top food fab,"['combination', 'food', 'fab']",FoodGen
2368,5826,Bognor,5,"Great pub food We often eat at the pub when we stay with family during the holidays as we live abroad. Very family friendly and excellent food. Waitresses are smiley and attentive. Although they are sometimes very busy, I have always had a good experience and enjoy returning with my husband and child and the grandparents are regulars.
Also dog friendly which is a plus for my father who likes to take his sidekick everywhere he goes.",great pub food often eat pub stay family holiday live abroad,pub stay family holiday,"['pub', 'family', 'holiday']",VisitExp
2372,5834,Bognor,5,Usual high standard of food and service We visited the Lion twice last week for even meals. Great food .and lovely staff. Such a lovely pub to visit,usual high standard food service visited lion twice last week even meal,usual high standard food service,"['standard', 'food', 'service']",Service
2374,5837,Bognor,4,"Weekend lunch Came here based on internet recommendation as we were staying in the local area. Very busy pub but service was spot on at the bar. Ordered our food and sat outside in the sun whilst we waited for our food. Didn’t have to wait long and it was delicious! Lovely surroundings, reasonable prices and great food. Will visit again.",busy pub service spot bar,busy pub service spot,"['pub', 'service', 'spot']",Service
2378,5840,Bognor,5,"An evening meal We have just visited this pub which was recommended by the hotel we are staying at. The usual menus food was great value and the specials boards focused mainly on locally caught fish. I had the sea bass in a creamy prawn sauce which was excellent (£17)...
The staff were very friendly and the bar sold a good range of beers and wines.
Used by locals as well as holiday makers.
There is a good sized car park at the back and plenty of street parking.
Definitely recommended.",staff friendly bar sold good range beer wine,good range beer wine,"['range', 'beer', 'wine']",Choice
2383,5846,Bognor,5,friendly pub good food A lovely friendly pub and good selection of food on the menu and . Staff are helpful and professional . Thank you .,friendly pub good food lovely friendly pub good selection food menu,lovely friendly pub good selection food menu,"['pub', 'selection', 'food', 'menu']",Ordering
2387,5853,Bognor,4,"Bank holiday Monday meal Visited here with my husband and mother in law as visiting mother in law. We have eaten here quite a few times, delicious food and nice variety. Always a selection of specials for starters and mains. Some meals bit pricey but it’s worth it as food is delicious. Staff friendly and it’s a nice cosy little pub inside.
They accommodate for large groups having a birthday or special occasion meal. Booking a table is necessary as it’s quite a popular pub restaurant.
Today I had the chicken liver pate as a starter which was really nice followed by scampi (11 pieces) and chips, also nice. My husband had the cod and chips, he loved it and the fish was rather large. They have a kids menu too.",husband cod chip loved fish rather large,husband cod chip,"['husband', 'cod', 'chip']",Choice
2390,5859,Bognor,1,"Dinner Appalling! The owner has no respect for customers. We spent over £300 and he was so rude to us. We learnt he’s been driven out of another local pub for similar reasons. Will never return which is a shame as the food and other staff were lovely. Avoid at all costs, a rip off and purely a greedy man looking to line his pockets",never return shame food staff lovely,return shame food staff,"['return', 'shame', 'food', 'staff']",FoodGen
2397,5872,Bognor,5,"Very good This is an old pub with lots of character. The dining room is not that big and booking is essential. There is a standard menu with special boards with lots of fresh fish dishes, homemade pies and delicious desserts. There is a pool table around the other side of the bar and there are music nights for the younger people. Log fires in the winter are welcoming and a garden in front of the pub catches the summer sun all day.",good old pub lot character,good old pub lot character,"['pub', 'lot', 'character']",VFM
2398,5872,Bognor,5,"Very good This is an old pub with lots of character. The dining room is not that big and booking is essential. There is a standard menu with special boards with lots of fresh fish dishes, homemade pies and delicious desserts. There is a pool table around the other side of the bar and there are music nights for the younger people. Log fires in the winter are welcoming and a garden in front of the pub catches the summer sun all day.",log fire winter welcoming garden front pub catch summer sun,log fire winter,"['log', 'fire', 'winter']",Booking&Table
2400,5881,Bognor,4,"Lovely pub with open fire and friendly staff Eight of us met here at 12.30 for a Friday lunch to start a weekend on the south coast. Parking was easy this early and the staff here are very helpful and friendly. The only problem we had was that our table was in the far left hand corner of the pub and it hadn't warmed up yet so we sat for the first half an hour with our winter coats on - less than ideal. The food overall was pretty good... we all enjoyed what we had chosen and nothing was sent back for any reason (my girlfriend had the fish and chips for £9 which was a good sized portion if ever so slightly overcooked while the liver and bacon was very good with plenty of gravy).
When we wanted another beer or bottle of wine our waitress brought them over pretty quickly despite it beginning to get busy in there.
So the main question I always ask myself is would I go again and the answer is yes, we'll meet up there next year to start our annual south coast weekender with our group of friends.",problem table far left hand corner pub not warmed yet sat first half hour winter coatideal,half hour winter coatideal,"['half', 'hour', 'winter', 'coatideal']",Menu
2412,5898,Littlehampton,3,"Pretty Good Great to see the move to better premises which has increased the number of covers and space between tables, first class for ambiance and air-con. Menu offering is typical Thai, nothing outstanding from other Thai establishments. In general the food is delightful and acceptable although the mixed platter starter was very ""oily"" and lacking in flavour, hence the need to offer ""dipping"" sauces to give it some spark!! Main courses are large but only enhanced by the large portions of rice (least expensive ingredient) Generally a reasonable meal and experience. Slightly over-priced for the offer. Reservations are obviously important as from 19.00 the place was full on the Saturday I visited.",pretty good great see move better premise increased number cover space table first class ambiance aircon,class ambiance aircon,"['class', 'ambiance', 'aircon']",FoodGen
