,OrigInd,Town,Rating,Sentence,cleaned,noun_phrases,nouns,Topic
402,9733,Bognor,5,"Pretty and good for kids We made full use of the park when staying at Butlins, as it was nice to go somewhere quiet (apparently once in Butlins... the Butlin-ites do not go outside the complex, which is good news for the rest of us!). We tried the cafe, and enjoyed a game of golf as well. The kids park looked really good and I can state that the zipwire was fun.
Read less",pretty good kid made full use park staying nice go somewhere quiet apparently butlin-ites not go outside complex good news rest u,complex good news rest u,"['news', 'rest', 'u']",Place
403,9734,Bognor,5,"Park Run Glad to see Hotham Park during our park run visit. We were there only for that reason but highly recommend as very pretty and peaceful. Beautifully maintained and can imagine truly lovely to visit on a regular basis.
Read less",park run glad see park park run visit,park park run visit,"['park', 'park', 'visit']",Parking
404,9737,Bognor,4,"1st visit  Are 1st visit to the park. Nice place to go to take the dog for a walk and was really confident to let my dog off the lead. It was nice to see the Alice in Wonderland sculptures at the pic
Read less",visit visit park,visit visit park,"['visit', 'visit', 'park']",VisitExp
405,9739,Bognor,5,"Lovely park for families We visited this park while on holiday in the area. The woodland is lovely and well kept with some beautiful trees. There is a wildlife pond full of fish and dragonflies which the kids loved to watch. The play park is great for all ages and the climbing frame and zipwire were a hit. The little boat lake was very small and dirty which was disappointing, i couldnt see any charges but people said you had to pay. The little train was quite expensive also for a family of 4. We loved walking around to find the various Alice in Wonderland statues. Free toilets on site - paid parking in a small car park
Read less",lovely park family visited park holiday area,park holiday area,"['park', 'holiday', 'area']",Kids&PlayArea
411,9740,Bognor,4,"Worth a visit if you have an hour to spare We went to Hotham Park with our grandsons. It was enjoyable especially the train ride. We felt that the train rides ended too early in the afternoon so we didn't have time to visit the playground. The place was mostly well kept. The wet nature area was bone dry so that was a bit disappointing but not the fault of anyone
Read less",wet nature area bone dry bit disappointing not fault anyone le,wet nature area bone dry bit,"['area', 'bone', 'bit']",Kids&PlayArea
412,9742,Bognor,5,"Lovely park This is an attractive and well maintained park, on the outskirts of the town. There are lots of fine specimen trees, with pleasant grassed and landscaped areas in between. There is adventure golf and a boating lake for the little ones, as well as a fun looking miniature railway. We didn't use the cafe but it looked good and the loos were probably the cleanest public toilets I have ever come across. Well done Arun District Council, your park is a credit to you and is well worth a visit.
Read less",lovely park attractive well maintained park outskirt town,park outskirt town,"['park', 'outskirt', 'town']",Parking
420,9749,Bognor,5,"Family morning out  Hotham park is a lovely little park with an Alice in wonderland theme statues all around, a boating which is £5.00 per boat for 20mins the play area park has loads to offer for with or without disabilities there is also crazy golf which looked great £20.00 for family of 4 didn’t do this as children and attention span when there’s a huge park next door , car park with toilets there’s also toilets in Hotham park , charges are 1-2 hours a £1
Read less",family morning park lovely little park alice wonderland theme statue around boating 5.00 per boatplay area park load offer without disability also crazy golf looked great 20.00 family not child attention span huge park next door car park toilet also toilet park charge hour le,family morning park,"['family', 'morning', 'park']",FamilyExp
421,9749,Bognor,5,"Family morning out  Hotham park is a lovely little park with an Alice in wonderland theme statues all around, a boating which is £5.00 per boat for 20mins the play area park has loads to offer for with or without disabilities there is also crazy golf which looked great £20.00 for family of 4 didn’t do this as children and attention span when there’s a huge park next door , car park with toilets there’s also toilets in Hotham park , charges are 1-2 hours a £1
Read less",family morning park lovely little park alice wonderland theme statue around boating 5.00 per boatplay area park load offer without disability also crazy golf looked great 20.00 family not child attention span huge park next door car park toilet also toilet park charge hour le,boatplay area park load,"['boatplay', 'area', 'park', 'load']",Kids&PlayArea
422,9751,Bognor,5,"Lovely park Lots of room and things to do, especially for children. There is room for ball games, lots of grassy and shaded areas. Crazy golf is great and informative (animal based) if rather expensive. Play area, boating lake, miniature railway, cafe, clean toilets. Plenty of nearby parking and walking distance to the town and beach.
Read less",lovely park lot room thing especially child,lovely park lot room thing,"['park', 'lot', 'room', 'thing']",Parking
443,9802,Arundel,5,"A great show Saw this show at Arundel Castle, Kevin, the falconer was in his world with the birds that he had on show.
What a fantastic show it is all sorts of birds,from mere owls to diving Falcons showing a mastery of the air.
Kevin kept the audience spellbound with his skill, his use of the area available to was,indeed fantastic, catch this show whenever you can.
One cannot afford to miss it.
Read less",fantastic show sort bird mere owl diving falcon showing mastery air,fantastic show sort bird,"['show', 'sort', 'bird']",FamilyExp
454,9813,Arundel,5,"An experience to treasure Having seen falconry displays up and down the country, there really is nothing like getting a hands on experience with the birds. I took my son down to Arundel to meet Kevin who was there to meet us with a wonderful selection of birds of prey. We spent a good couple of hours in the company of the birds while, one after another, they flew perfectly for us. There is something about having a 6 pound eagle owl landing on your glove, with feet as big as your hands, that’s hard to put into words!

Apart from the beauty and power of the birds themselves, it’s obvious from the start that Kevin is a total professional. All licence and insurance paperwork is on display and as soon as you arrive you can see the birds are clean, happy and in perfect condition. Kevin’s dedication to his birds is obvious from the way he handles and interacts with them. They watch his every move and respond perfectly, even for us amateurs.

Thanks Kevin and Emma, hope to see you again sometime.
Read less",apart beauty power bird obvious start kevin total professional,obvious start kevin total,"['start', 'kevin', 'total']",Walking
457,9814,Arundel,5,"A fantastic experience We had a wonderful time with Kevin and his Harris Hawk, Sky. We walked through a beautiful private woodland and had the opportunity to have a go at having Sky on our gloves and also making her fit through small gaps to catch her food which was fun!

It was so interesting hearing about the birds and seeing them in the wild. Kevin was so knowledgeable and passionate about his birds and answered any questions we had. We would definitely recommend this experience to friends, Kevin is really personable and made it such an enjoyable experience!
Read less",would definitely recommend experience friend kevin really personable made enjoyable experience,experience friend kevin,"['experience', 'friend', 'kevin']",FamilyExp
458,9815,Arundel,5,"Wish I could rate it even higher - wonderful My wife and I were given a voucher for a Hawk Walk by our sins as a gift - and what a gift it turned out to be.
We met Kevin as planned and on schedule and a short drive to the edge of a magical woodland.
Here we met Sky - a female Harris Hawk who was just magnificent. Gloved up we walked into the woods and Kevin proceeded to educate and entertain us as Sky flew around us with regular and frequent trips back to our gloves to feed. I rate and review many things on Trip Advisor all over the world and I truly think this was the best I’ve ever reviewed.
Sky excelled herself when she roused some barn owls who flew across us and although Sky may have been tempted, she returned to the glove when called. She the proceeded to spot and catch a mouse in the forest underground. Some people may not have liked this, but it was true nature at work and just great to witness.
If you like nature, birds of prey and stunning scenery, this is a must for you.
Kevin took loads of photographs and videos so we could just enjoy the experience - at the end he sent over 70 images and videos. To us for us to remember.
I live a long way away but I am coming back - 100% certainty.
Read less",rate review many thing trip advisor world truly think best I ever reviewed,thing trip advisor world,"['thing', 'trip', 'advisor', 'world']",FamilyExp
461,9821,Arundel,5,"Yet again another wonderful Birds of Prey experience! We first met Kevin 9 years ago when we booked a ‘Hawk Walk’ and we were one of his first customers. We had an amazing day with Kevin and Aimee the Harris Hawk. We loved it and were hooked! Since then we’ve done a Owl Experience, an evening Birds Of Prey experience and just recently, another Hawk Walk but this time with Aimee’s brother and sister, Storm and Skye! It was amazing to see the connection between Kevin and the 2 birds and it was clear to see that he absolutely loves what he is doing! So once again we both had an AMAZING time and we look forward to the next adventure! If you want to try something different, then why not try a Bird of Prey experience with Kevin? Trust me, YOU WILL LOVE IT!
Read less",amazing kevin aimee harris,amazing kevin aimee harris,"['kevin', 'aimee', 'harris']",Walking
465,9826,Arundel,5,"Owls encounter I saw hawking about had good reviews and booked a day for my children 10 and 12yrs as a Christmas gift. We chose the owls because there are more birds to fly and less walking for the children. It was really fantastic, lots of handling and information in a very professional set up. This is a great gift idea or just as a experience.
Read less",great gift idea experience,great gift idea experience,"['gift', 'idea', 'experience']",Shop&Amenties
470,9831,Arundel,5,"Owl encounter & Hawk walk Had an 'Owl encounter' yesterday having previously had a 'Hawk walk'. Both experiences were amazing, Kevin's commentary was extremely knowledgable and amusing. His interactions with the birds is a joy to see, as he treats them almost like pets.
Kevin's photographer, Ricky is also a great idea, trying to take a selfie with an eagle owl on your hand is pretty much impossible.
I would thoroughly these experiences.
Read less",interaction bird joy see treat almost like pet,interaction bird joy,"['interaction', 'bird', 'joy']",FamilyExp
471,9835,Arundel,5,"Superb hawk walk A great experience - I bought this as a gift for my dads 70th birthday and we had an amazing time with Kevin and Storm the Harris Hawk.
Read less",superb walk great experience bought gift dad birthday amazing kevin storm harris,amazing kevin storm harris,"['kevin', 'storm', 'harris']",Walking
473,9836,Arundel,5,"Owl Encounter Myself, my Daughter and my Grandaughter had such a wonderful time with Kevin.He was so friendly and knowledgeable about his birds.The love of his birds shone through,and with the birds how much they loved him.My Grandaughter was very nervous to start with but he was amazing with her and after her first owl swooped onto her glove she was hooked.
It was an amazing time something we will always have happy memories of.We shall always remember with a smile the feeling of an owl swooping onto your gloved hand and being able to actually stroke them,a dream come true.
Thank you so much !!!!!!
Read less",amazing something always happy memory owe shall always remember smile feeling owl swooping onto gloved hand able actually stroke dream come true,smile feeling owl,"['smile', 'feeling', 'owl']",FamilyExp
485,9858,Arundel,4,"Great family summertime walk This is a hidden gem in Arundel West Sussex that is good to visit all ages all year round. If you like bird watching there are plenty to see. If you need to amuse children and feed them you can get ice creams, drinks and snacks etc.",great family summertime walk hidden gem west sussex good visit age round,sussex good visit age round,"['sussex', 'visit', 'age', 'round']",VisitExp
486,9859,Arundel,4,Nice way to chill for an hour We went to Swanbourne Lake when we had some spare time in Arundel. Nice place to relax on a summer’s day. Didn’t tow in the lake or use the cafe but did get an ice cream and a drink. Pleasant!,not tow lake use cafe get ice cream drink,ice cream drink,"['ice', 'cream', 'drink']",Shop&Amenties
492,9872,Arundel,4,"Bank holiday escape  Lovely to come back here after about 25years! The lake had loads to watch - birds through to rowers! Sunny day brought the public out to also enjoy this lovely hideout.
Watch out for some idiots on the roads where the path is not clear. Don’t know why people can’t be more safe in such situations. Nice afternoon stroll with some wildlife.",watch idiot road path not clear,idiot road path,"['idiot', 'road', 'path']",Parking
505,9889,Littlehampton,4,"Walk Lovely area to walk and take kids, nice cafe to eat, play park, walk dogs, boating lake, train ride and close to beach and swimming centre
Read less",walk lovely area walk take kid nice cafe eat play park walk dog boating lake train ride close beach swimming centre le,park walk dog,"['park', 'walk', 'dog']",Walking
506,9890,Arundel,5,Lovely Christmas get together We had a great value for money at Denmans today with friends. The quality and quantity were excellent as was the service so thank you one and all and happy happy Christmas yours Jacky Greville Cassanova and Taittinger,lovely christmas get together great value money demand today friend,great value money demand,"['value', 'money', 'demand']",VFM
508,9890,Arundel,5,Lovely Christmas get together We had a great value for money at Denmans today with friends. The quality and quantity were excellent as was the service so thank you one and all and happy happy Christmas yours Jacky Greville Cassanova and Taittinger,quality quantity excellent service thank one happy happy christmas jacky grille casanova taittinger,happy happy christmas jacky grille casanova taittinger,"['christmas', 'jacky', 'grille', 'casanova', 'taittinger']",FamilyExp
510,9899,Arundel,5,"A very curvaceous garden Initially, it was a dull morning when my Wife and I visited but there is certainly nothing dull about these stupendous gardens and the staff. Initially, we met the enthusiastic Pauline in the Gift Shop who told us that the gardens had inspired Beth Chatto to create her well known dry, gravel garden near Colchester, Essex.

The curved beds, gravel walk ways, superb naturalistic planting, the unmown grass in certain areas, the “river bed” leading to one of the best ponds that I have ever seen and the occasional statues, all help to make this one of the most interesting and inspiring gardens that we have ever visited. I said jokingly to Briony who deals with some of the propagation that she would be most welcome to come and create something similar in our garden.

I mentioned to Karen who was working industriously in the garden until I interrupted, that I could not find the sculpture by Marion Smith which according to the plan was located near the far pond. Sadly, she told me that the staff had come to work one morning to find that the sculpture was missing, presumably taken by someone over the back wall. Hopefully, a heavier replacement will be in situ at sometime

There is also a newly constructed Tearoom and very clean toilets.

Many thanks to the current Denmans’ Team and the late Joyce Robinson and the late John Brookes for creating and maintaining such a fine garden.",initially met enthusiastic pauline gift shop told u garden inspired beth chatty create well known dry gravel garden near rochester essex,enthusiastic pauline gift shop,"['pauline', 'gift', 'shop']",Shop&Amenties
520,9905,Arundel,5,"Excellent Food Excellent Service An excellent cafe. I went on my own for lunch. The system is that you place your order and pay to start. Then sit down with a spoon that has your order number.
Food and drinks are served by the staff.
I had a Mediterranean Vegetable Quiche and a black coffee. Both were faultless.
The time between ordering and being served was brief.
I give the café full marks. I met Ros the manager who is lovely and clearly has a close eye on everything. No wonder everything is so good.",system place order pay start,system place order pay,"['system', 'place', 'order', 'pay']",Place
522,9907,Arundel,5,"A hidden gem What a wonderful place, with a very warm and personal welcome from Cindy. The gardens are beautiful and inspiring with so much to see and enjoy. Very good quality plants for sale at reasonable prices (certainly no more costly that the big garden centres), many propagated on site. Lovely cafe with a great range of food & drink, all freshly prepared. What struck us was that each member of staff we spoke to seemed to glow with pride and love for this special place. A perfect day out.",lovely cafe great range food drink freshly prepared,great range food drink,"['range', 'food', 'drink']",Food
523,9908,Arundel,4,"Beautiful garden......very good cafe Over the years we used to be regular visitors to Denmans and we were very sad as the garden deteriorated and eventually closed. We were very pleased to see it reopened.

We’ve visited four times this year and an impressive amount of work has been done in bringing the gardens up to scratch. We normally enjoy 30/40 minutes in the garden - it is not the largest (5 acres?) but full of interest.

You always receive a friendly and enthusiastic welcome.

We also always visit the cafe, which has a good selection of good quality food, cakes, etc and a particularly friendly and helpful serving team.

The only negative note is in relation to the refurbished toilet facilities - ‘cheap’ does not do them justice. I realise funds have to be prioritised however they are particularly poor quality and they detract from the quality of the gardens and cafe.

Don’t leave without looking in the (reasonably priced) gift shop - not large but with a few ‘different’ items.",beautiful gardener good cafe year used regular visitor demand sad garden deteriorated eventually closed,beautiful gardener good cafe year,"['gardener', 'cafe', 'year']",Food
535,9926,Arundel,5,A Lovely Morning Visit A tranquil oasis of a garden. This is not a vast site of many acres but a quite private garden designed by the late John Brookes that is a pleasure to stroll around. An excellent tea room with very good cakes and also a little shop selling items one doesn't normally see in either garden centres or RHS or NT gardens.,excellent tea room good cake also little shop selling item one not normally see either garden centre oh it garden,excellent tea room good cake,"['tea', 'room', 'cake']",Shop&Amenties
541,9938,Arundel,5,"Not very big but very interesting We got a discount entry because of having museum tickets so bear that in mind. There were some prehistoric artifcacts, a model of the castle, some TV footage to watch, and other bits and pieces about shipping, and the Earls of Arundel, etc There is also a place to have a coffee and a small shop with postcards, biscuits, jams, etc",not big interesting got discount entry museum ticket bear mind,discount entry museum ticket,"['discount', 'entry', 'museum', 'ticket']",FamilyExp
542,9942,Arundel,4,"Very nice local museum Explained the history of the town, including the connection to World War II and that the area was a staging area for D-Day. They also have a great Lego scale model of the castle.",nice local museum explained history town including connection world war ii area staging area day,connection world war ii area,"['connection', 'world', 'war', 'area']",Kids&PlayArea
544,9951,Arundel,3,"Toddler area needs updating We took our 2 grandchildren of 1 yr and 4yr old. The 4 yr old loved the main soft play area which was very good but could do with a clean. However, the under 2 area has really gone downhill since we last visited. All the toys were broken and batteries had run out on them all so none of the buttons worked, no sound or movement. The centre piece is a machine that blows balls in the air which my grand daughter used to love. However, there is now only one ball and it barely moved. This area really needs cleaning and updating. There were lots of mums with toddlers but the area was empty - not surprising! There is also a floor musical piano in the under 4 area with only a couple of the notes working - a shame!
Apart from that it's a good space and the children enjoy themselves. We didn't eat or drink there so I can't comment on that.
Read less",toddler area need updating took grandchild yr old,toddler area need,"['toddler', 'area', 'need']",Kids&PlayArea
554,9959,Littlehampton,4,"Ooch Ouch Hysteria!! I persuaded my daughter to bring her dog with my dog to the all year round dog friendly beach, having never brought these 2 particular dogs here. My daughter didn't go in the water, so I was left to take each dog individually to see how they would react, it was really warm water, quite a surprise for me, and obviously welcome. Both dogs were tentative but then 2 young brothers joined me in the water and befriended the dogs and asked intelligent questions and helped reassure the dogs who adore children. I struggled with the pebbly beach though, I wouldn't presume to say that I am a Princess but I felt that each pebble was like the pea in the Princess and the Pea story and ooch ouch they hurt, especially when the dogs were now reassured and delighted with themselves and decided to run like lunatics across the beach and back and excitedly run up to all children at full pelt, stop, invite to play and then shake excess salty sea water along with kicked up sand at them.

Why am I telling you this, my dogs can't be the only excited dogs at this beach, so be warned in case I am there again, only with one dog at a time though!!

I loved the beach though, there are pockets of sand where you can park your bum. The car park closes at 8pm I think and the parking was on grass which was great, although no shade for the dogs but there was a dog friendly car park too.

We will definitely return ... with dark glasses in case anyone recognises us.",loved beach though pocket sand park bum,pocket sand park,"['pocket', 'sand', 'park']",Parking
556,9960,Littlehampton,5,"Puppy’s first trip to the seaside  As a teenager I used to go to Climping Beach in old school Volkswagen campervans, we would get there late Saturday night and park right on the beach so we would wake up on the following morning and be by the sea. So after I suggested to my daughter that Climping would be a great place to take our new puppy, I became a little worried this charming little beach wouldn’t quite be representative of my happy memories. I read a few reviews here but decided to trust my gut feeling and leave very early on Sunday morning and have a whole day there.
I have to say that Climping exceeded my expectations, it’s more organised, clean and the cafe was a welcome relief from the strong sunshine. I can’t understand the bad reviews on here and I don’t get what people expect from a public beach with fab coastal walks where dogs can run free and play. My pup Cookie absolutely loved it and even the car parking charge seemed quite reasonable to get so close to the seafront for a whole day. Staff at cafe were helpful and friendly and we even got a free meal there. The most amazing part is seeing the dogs mingle and enjoy the sea without being restrained, everyone seemed very on the ball and I didn’t notice litter or anyone leaving dog poo around. The ice creams and chips weren’t any more expensive than what I’d pay in the area I live but we got to enjoy our food al fresco without the pressure of returning to the car or surrounded by shops. Just a lovely chilled day out. Definitely going back soon!",review decided trust gut feeling leave early sunday morning whole,trust gut feeling,"['trust', 'gut', 'feeling']",Parking
565,9969,Littlehampton,3,"Good beach in seaside town. Nice beach on English south coast. Must have been something in its prime. See the beach, collect some sea shells and find a pub.",good beach seaside town,good beach seaside town,"['beach', 'seaside', 'town']",BeachFac
567,9972,Littlehampton,5,hot chips on the beach and no people love it that there is a loo available!!!! you can have a cup of tea and still not have to crouch down behind a windswept tree to wee. love it,hot chip beach people love loo available,hot chip beach people,"['chip', 'beach', 'people']",BeachFac
571,9979,Littlehampton,2,"Expected a lot more  We had a family trip this weekend to celebrate Father’s Day with our 8 month old. Overall our expectations where not met. The hotel is beautiful, as to the grounds and surrounding area, the rest below the cover is poor.
The room was a nice size, nice decor and comfy bed. But was dark, very dirty, bathroom taps fell off in my hand, was hot and when opening the window the smell from the kitchens came in!
The service was mixed, every time we sat for a drink/food we had to ask for a menu/to be served and then chase them. Shouldn’t be a surprise we wanted to eat and drink, also bad for their business as they are losing out on revenue by not serving and making people wait.
The eve meal was disappointing, poor produce, small portions and very bland. The chef should not be Proud of that. My breakfast was lame, veggie breakfast with no sausage = one shrivelled tomato, one burn mushroom and a tiny portion of beans, looked pathetic on the plate!
The spa is run down, nice on the surface but tired and so so busy. Couldn’t even get a seat to feed our 8 month baby, loads of towels left and no one overseeing removing them.
Stayed in the chain a number of times, this is is by far the worse and only gets away with due to the location/building.
Save your money and go elsewhere
Read less",dark dirty bathroom tap fell hand hot opening window smell kitchen came,dark dirty bathroom tap,"['dirty', 'bathroom', 'tap']",Kids&PlayArea
573,9979,Littlehampton,2,"Expected a lot more  We had a family trip this weekend to celebrate Father’s Day with our 8 month old. Overall our expectations where not met. The hotel is beautiful, as to the grounds and surrounding area, the rest below the cover is poor.
The room was a nice size, nice decor and comfy bed. But was dark, very dirty, bathroom taps fell off in my hand, was hot and when opening the window the smell from the kitchens came in!
The service was mixed, every time we sat for a drink/food we had to ask for a menu/to be served and then chase them. Shouldn’t be a surprise we wanted to eat and drink, also bad for their business as they are losing out on revenue by not serving and making people wait.
The eve meal was disappointing, poor produce, small portions and very bland. The chef should not be Proud of that. My breakfast was lame, veggie breakfast with no sausage = one shrivelled tomato, one burn mushroom and a tiny portion of beans, looked pathetic on the plate!
The spa is run down, nice on the surface but tired and so so busy. Couldn’t even get a seat to feed our 8 month baby, loads of towels left and no one overseeing removing them.
Stayed in the chain a number of times, this is is by far the worse and only gets away with due to the location/building.
Save your money and go elsewhere
Read less",breakfast lame veggie breakfast sausage one shrivelled tomato one burn mushroom tiny portion bean looked pathetic plate,breakfast lame veggie breakfast sausage,"['breakfast', 'lame', 'breakfast', 'sausage']",Place
575,9982,Littlehampton,1,"Disappointing I visited here with a friend for a well earned spa day. Spa treatments were lovely and well administered. The pool and facilities are available to hotel and members to use. Although the pools were pretty empty, there were not enough beds to go round and we had to share a bed as did others.
 From arrival to Lunch was 5 hours, which we knew when we booked. On arrival there was a machine upstairs to make your own tea or coffee. We were told snacks were available during the morning but were not. In the end we had to ask and were told only biscuits were available which we gladly accepted. All food and drink is taken in the lounge which is upstairs, so we were up and down several times.
Cream tea was included in our package but was inedible, with the scones being bitter to taste and of a sand like texture. We reported this to reception and were told they would be taken back to the kitchen , we were offered a soft drink as recompense but declined. We aware also told the hotel would be in contact regarding this but they never did.
I wouldn't s place unless you just want a massage and a quick swim but a £160 it is a waste of money
Read less",pool facility available hotel member use,available hotel member use,"['hotel', 'member', 'use']",Staff
579,9986,Littlehampton,4,"A Me Day Relaxing enjoyable spa day on the South Coast. Welcomed by staff and shown where everything was and times of treatment and food. Lovely pool inside and out. Not too busy when I was in pool. Could have done with more water stations and changing room was a bit tight. Food was good and treatments excellent. Overall a relaxing day and very enjoyable. Will book up again.
Read less",welcomed staff shown everything time treatment food,time treatment food,"['time', 'treatment', 'food']",Food
584,9989,Bognor,2,"Mislead dirty not much open Came to Butlin’s 70’s weekend with 10 other work ladies.
We paid extra to be on the ground floor and together. (Gold) We got the ground floor but were in different blocks😬. On complaining the receptionist said we were never going to be together as they do not have two 6 person rooms together so we were mislead on booking. She said she would listen to the taped conversation to see what Butlins had said and call us back, still waiting.

Room block 4 floor was filthy and there were no shelf’s in the oven, shower head kept falling of.
Room block 5 floor was also filthy and all our pans etc had not been washed. Lots of cigarette buts out side our room which kept getting walked in. Was told they would be cleared up but never was.
A cleaner did come over and clean the rest of stuff that we hadn’t finished cleaning on arrival.

Wanted to hire the bikes out, but apparently they do not hire them adults only week ??
The fair was not open either.

We all paid to have a spa, the changing rooms had two toilets and two showers no changing separate room which is uncomfortable if you don’t wish to get changed in front of anybody, we were all queuing for a shower.
The main changing room was very small and hot, very uncomfortable considering you should be relaxing.
The spa itself seem to have to many people in at once. It was over an hour before any of us could use the hot tub also the ice room was broke.
I did have a facial and that was very good.

The floors in the clubs were awful so sticky, your feet came out your shoes as you danced.
The bands were excellent
So overall not a good experience with Butlin’s but it did not stop us having a good time no thanks to Butlin’s",mislead dirty not much open came butin weekend work lady,butin weekend work lady,"['butin', 'weekend', 'work', 'lady']",FamilyExp
585,9989,Bognor,2,"Mislead dirty not much open Came to Butlin’s 70’s weekend with 10 other work ladies.
We paid extra to be on the ground floor and together. (Gold) We got the ground floor but were in different blocks😬. On complaining the receptionist said we were never going to be together as they do not have two 6 person rooms together so we were mislead on booking. She said she would listen to the taped conversation to see what Butlins had said and call us back, still waiting.

Room block 4 floor was filthy and there were no shelf’s in the oven, shower head kept falling of.
Room block 5 floor was also filthy and all our pans etc had not been washed. Lots of cigarette buts out side our room which kept getting walked in. Was told they would be cleared up but never was.
A cleaner did come over and clean the rest of stuff that we hadn’t finished cleaning on arrival.

Wanted to hire the bikes out, but apparently they do not hire them adults only week ??
The fair was not open either.

We all paid to have a spa, the changing rooms had two toilets and two showers no changing separate room which is uncomfortable if you don’t wish to get changed in front of anybody, we were all queuing for a shower.
The main changing room was very small and hot, very uncomfortable considering you should be relaxing.
The spa itself seem to have to many people in at once. It was over an hour before any of us could use the hot tub also the ice room was broke.
I did have a facial and that was very good.

The floors in the clubs were awful so sticky, your feet came out your shoes as you danced.
The bands were excellent
So overall not a good experience with Butlin’s but it did not stop us having a good time no thanks to Butlin’s",floor club awful sticky foot came shoe danced,floor club awful sticky foot,"['floor', 'club', 'foot']",Kids&PlayArea
590,9993,Bognor,1,What the hell ?? New pool. Well im staggered. No spectator area apart from next to the costa fortune cafe / sales for swimwear etc area with no seating. One toilet next to the lift for the whole cafe and queue area..the floor was filthy and so slippery I nearly broke my neck. The queue was out the door..very poor show considering the money spent. Floors need to be none slip and clean. Shoes should be off before dirty shoes walked through the change area..very odd that there are signs of use / wear so soon after its opened. Disappointed and wont be back. I loved it as a child with its outdoor pool but my children wont want a big wait for a chilly over crowded dip. The pool needs to be bigger especially when you look at the size of the models in the promo add....oh its naughty but true...me being a lard arse too I might add...xxxx,shoe dirty shoe walked change area odd sign use wear soon opened,shoe dirty shoe,"['shoe', 'dirty', 'shoe']",BeachFac
592,9993,Bognor,1,What the hell ?? New pool. Well im staggered. No spectator area apart from next to the costa fortune cafe / sales for swimwear etc area with no seating. One toilet next to the lift for the whole cafe and queue area..the floor was filthy and so slippery I nearly broke my neck. The queue was out the door..very poor show considering the money spent. Floors need to be none slip and clean. Shoes should be off before dirty shoes walked through the change area..very odd that there are signs of use / wear so soon after its opened. Disappointed and wont be back. I loved it as a child with its outdoor pool but my children wont want a big wait for a chilly over crowded dip. The pool needs to be bigger especially when you look at the size of the models in the promo add....oh its naughty but true...me being a lard arse too I might add...xxxx,pool need bigger especially look size model promo add naughty treme lard arse might addxxxx,naughty treme lard arse,"['treme', 'lard', 'arse']",VisitExp
597,9996,Bognor,3,"went for the day- to spend time with family My family were at Bognor Regis for a week. wanted to have some quality time with family- so all brothers and sister can spend the day together. we did not want to use any of the facilities at Bognor. There was no option for reduced entrance, had to pay the full whack. There should be different tiers for those who did not want to use the free facilities",went day spend family family week,family family week,"['family', 'family', 'week']",FamilyExp
598,9996,Bognor,3,"went for the day- to spend time with family My family were at Bognor Regis for a week. wanted to have some quality time with family- so all brothers and sister can spend the day together. we did not want to use any of the facilities at Bognor. There was no option for reduced entrance, had to pay the full whack. There should be different tiers for those who did not want to use the free facilities",wanted quality family brother sister spend together,quality family brother sister,"['quality', 'family', 'brother', 'sister']",FamilyExp
602,10000,Bognor,3,"New swimming is good but fell short of full marks.  The new swimming is really good for young children and a much improved from the old one. Plenty to do for children of young ages and the height restrictions on the slide are not as strict as some places so the kids really get to use the full works. The wave machine pool is good but the best part has to be the rapids which goes outside and leads you back inside to main pool area. The reasons it didn’t get full marks where first the signs for the new pool are poor (to be fair none existent). The water is freezing and not like most pools when you first get in it’s cold and you soon warm up, it’s cold from start to finish. The worst point has to be the floor in the changing room area and in the cubicles is horrendous. Looks like it hasn’t been clean since it opened. Your standing in mud from people’s footwear on the way in, hair, rubbish and all sorts. We wanted another shower after we got changed. It’s a shame but never the less the pool is amazing and the children will love it. Just hope they can keep on top of the cleanness of the changing rooms.",wave machine pool good best part rapid go outside lead back inside main pool area,wave machine pool good,"['wave', 'machine', 'pool']",FamilyExp
606,10006,Bognor,5,"Lovely day had by all!  We had an amazing day yesturday! 2 adults 6 year old and twin babies aged 10months. The brand new pool was amazing and the extra large changing rooms great for larger families each one had a drop down baby changer and a handy seat with strap so baby sits safely whilst u get dressed. The slides and shutes were great. And the different sections for younger children to enjoy smaller slides water falls etc. Lots of lifeguards around watching. All safe in and around butlins were polite and helpful we were very impressed. The fairground is great and within price of entry. Your do have to pay extra for go karts (£6 a go) the family bikes, bowling etc but I would have expected this as they are extra activities on site. Lots of choice of restaurants at reasonable prices. A day out with twin babies is never easy but was really impressed with the baby stations in the restaurants selling a variety of Ella's kitchen pouches for £1 and bowls spoon and microwaves u can use! There is a microwave in skyline to heat things as well. Overall very happy with our day out!!!",twin baby never easy really impressed baby station restaurant selling variety ella is kitchen pouch bowl spoon microwave use,baby station restaurant,"['baby', 'station', 'restaurant']",Food
611,10016,Arundel,5,Great walking tour  This was a wonderful way to sightsee Arundel town centre. We spent a wonderful 90 minutes walking around the town. Martin is a very passionate guide and a great source of information about the local history. So much better than doing it on your own.,martin passionate guide great source information local history,great source information local history,"['source', 'information', 'history']",FamilyExp
